Updates,Timesteps,FPS,reward_mean,reward_median,space_ratio,items_packed,loss_entropy,loss_value,loss_action,loss_infeasibility,popart_mean,popart_std,new_best_model
125,60000,805,0.51,0.52,0.559,35.80,1.6870,0.0879,-0.1347,0.0004,-0.001,1.004,0
130,62400,812,0.47,0.48,0.558,35.70,2.0704,0.0522,0.3923,0.0004,-0.001,1.004,0
135,64800,812,0.38,0.39,0.545,34.90,3.0600,0.0328,-0.3419,0.0003,-0.001,1.004,0
140,67200,821,0.30,0.33,0.511,32.70,3.6229,0.0261,-0.0380,0.0004,-0.001,1.004,0
145,69600,820,0.28,0.30,0.486,31.10,3.7312,0.0218,-0.8531,0.0003,-0.001,1.003,0
150,72000,826,0.27,0.28,0.483,30.90,3.9028,0.0085,-0.4309,0.0002,-0.001,1.003,0
155,74400,828,0.39,0.38,0.523,33.50,3.0808,0.0061,-0.2820,0.0003,-0.001,1.003,0
160,76800,836,0.42,0.44,0.530,33.90,2.4827,0.0035,-0.1407,0.0004,-0.001,1.003,0
165,79200,836,0.50,0.52,0.553,35.40,1.7363,0.0018,-0.1146,0.0005,-0.000,1.003,0
170,81600,841,0.51,0.53,0.552,35.30,1.4800,0.0038,-0.1823,0.0005,-0.000,1.002,0
175,84000,841,0.55,0.55,0.562,36.00,1.2117,0.0035,-0.2925,0.0005,-0.000,1.002,0
180,86400,849,0.56,0.56,0.562,36.00,0.8742,0.0034,0.0368,0.0005,-0.000,1.002,0
185,88800,850,0.56,0.56,0.562,36.00,0.7151,0.0064,-0.0526,0.0006,0.000,1.002,0
190,91200,856,0.56,0.56,0.562,36.00,0.5174,0.0162,-0.0617,0.0006,0.000,1.001,0
195,93600,856,0.56,0.56,0.562,36.00,0.3472,0.0086,-0.0020,0.0005,0.000,1.001,0
200,96000,860,0.56,0.56,0.562,36.00,0.4284,0.0296,-0.0590,0.0005,0.001,1.001,0
205,98400,860,0.53,0.53,0.562,36.00,0.7445,0.0293,-0.1225,0.0006,0.001,1.001,0
210,100800,865,0.48,0.47,0.559,35.80,1.2626,0.0142,-0.6147,0.0006,0.001,1.001,0
215,103200,864,0.49,0.50,0.558,35.70,1.3516,0.0263,0.6555,0.0006,0.001,1.000,0
220,105600,869,0.51,0.54,0.552,35.30,0.7505,0.0398,-0.1166,0.0005,0.001,1.000,0
225,108000,868,0.56,0.56,0.562,36.00,0.6491,0.0656,-0.2883,0.0005,0.001,1.000,0
230,110400,873,0.56,0.56,0.562,36.00,1.0390,0.1719,0.2867,0.0003,0.001,1.000,0
235,112800,873,0.54,0.54,0.562,36.00,1.6093,0.0721,-0.3432,0.0003,0.002,1.000,0
240,115200,877,0.45,0.46,0.550,35.20,2.1305,0.1709,-0.4397,0.0003,0.002,0.999,0
245,117600,877,0.31,0.31,0.506,32.40,3.3656,0.1597,0.6200,0.0003,0.002,0.999,0
250,120000,882,0.07,0.03,0.417,26.70,4.9092,0.0405,0.1022,0.0004,0.002,0.999,0
255,122400,882,0.07,0.07,0.414,26.50,4.7363,0.0702,-0.0901,0.0004,0.002,0.999,0
260,124800,886,-0.01,-0.03,0.391,25.00,5.1257,0.0186,-0.3707,0.0004,0.002,0.998,0
265,127200,884,-0.01,-0.03,0.389,24.90,5.4444,0.0112,-0.1148,0.0004,0.002,0.998,0
270,129600,887,0.06,0.05,0.425,27.20,4.8619,0.0125,-0.4105,0.0004,0.002,0.998,0
275,132000,888,0.18,0.19,0.466,29.80,3.7196,0.0050,-0.3484,0.0005,0.002,0.998,0
280,134400,891,0.41,0.41,0.542,34.70,2.3044,0.0050,0.0221,0.0005,0.002,0.997,0
285,136800,891,0.43,0.44,0.545,34.90,2.4452,0.0085,-0.1225,0.0004,0.002,0.997,0
290,139200,894,0.49,0.49,0.553,35.40,2.3297,0.0087,-0.2296,0.0004,0.002,0.997,0
295,141600,893,0.51,0.51,0.561,35.90,2.3028,0.0383,0.1324,0.0004,0.002,0.997,0
300,144000,896,0.49,0.50,0.561,35.90,2.6980,0.0087,0.1387,0.0004,0.002,0.997,0
305,146400,894,0.48,0.49,0.555,35.50,2.7917,0.0173,-0.0040,0.0004,0.002,0.996,0
310,148800,898,0.48,0.49,0.555,35.50,2.5042,0.0148,-0.1676,0.0004,0.002,0.996,0
315,151200,898,0.48,0.49,0.562,36.00,2.2060,0.0115,-0.1809,0.0005,0.002,0.996,0
320,153600,899,0.45,0.46,0.547,35.00,2.4318,0.0066,0.3119,0.0005,0.003,0.996,0
325,156000,899,0.47,0.48,0.556,35.60,2.6629,0.0075,-0.0609,0.0004,0.003,0.995,0
330,158400,902,0.39,0.40,0.525,33.60,3.1987,0.0051,-0.0091,0.0004,0.003,0.995,0
335,160800,901,0.42,0.44,0.541,34.60,2.6004,0.0084,-0.2724,0.0004,0.003,0.995,0
340,163200,904,0.50,0.51,0.556,35.60,2.0581,0.0058,-0.4571,0.0004,0.003,0.995,0
345,165600,902,0.53,0.54,0.562,36.00,1.4863,0.0146,0.0522,0.0004,0.003,0.994,0
350,168000,905,0.54,0.54,0.562,36.00,1.2869,0.0108,-0.0481,0.0005,0.003,0.994,0
355,170400,906,0.53,0.53,0.561,35.90,1.4846,0.0165,0.0059,0.0005,0.003,0.994,0
360,172800,907,0.49,0.50,0.559,35.80,1.9645,0.0065,0.2599,0.0005,0.003,0.994,0
365,175200,907,0.41,0.41,0.533,34.10,3.0086,0.0093,0.0028,0.0004,0.004,0.994,0
370,177600,908,0.38,0.38,0.528,33.80,3.2000,0.0106,0.1439,0.0004,0.004,0.993,0
375,180000,907,0.41,0.41,0.528,33.80,2.7108,0.0055,-0.1170,0.0003,0.004,0.993,0
