update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
40,9600,0.5111111149191856,0.5185185223817825,0.5111111111111111,13.8,2.872852087020874,0.008237248286604881,0.00916188582777977,0.007480130530893803
45,10800,0.37777778059244155,0.37037037312984467,0.3777777777777778,10.2,2.874972105026245,0.007659717462956905,0.005767488386482,0.003615287598222494
50,12000,0.5629629671573639,0.555555559694767,0.562962962962963,15.2,2.862497329711914,0.012266748584806919,-0.0047457097098231316,0.01019398495554924
55,13200,0.522222226113081,0.5000000037252903,0.5222222222222224,14.1,2.8754405975341797,0.008877853862941265,0.01887405663728714,0.006522250361740589
60,14400,0.4185185216367245,0.4444444477558136,0.4185185185185185,11.3,2.8819642066955566,0.015152853913605213,-0.012000243179500103,0.00711904838681221
65,15600,0.622222226858139,0.5925925970077515,0.6222222222222223,16.8,2.835664749145508,0.007198350504040718,-0.017090309411287308,0.011930262669920921
70,16800,0.48888889253139495,0.5000000037252903,0.48888888888888893,13.2,2.8814258575439453,0.005356610752642155,0.01910948008298874,0.005782685242593288
75,18000,0.4518518552184105,0.5000000037252903,0.45185185185185184,12.2,2.8496270179748535,0.0077923680655658245,-0.020076828077435493,0.00819648988544941
80,19200,0.5333333373069763,0.48148148506879807,0.5333333333333333,14.4,2.8402771949768066,0.006796922069042921,-0.06159616634249687,0.010119804181158543
85,20400,0.45555555894970895,0.5000000037252903,0.45555555555555555,12.3,2.867400646209717,0.00778768677264452,-0.021010303869843483,0.0068447585217654705
90,21600,0.5333333373069763,0.555555559694767,0.5333333333333332,14.4,2.857862710952759,0.011530675925314426,0.00280894641764462,0.009308431297540665
5,1200,0.48518518880009653,0.46296296641230583,0.4851851851851851,13.1,2.8062078952789307,0.0747392401099205,0.08555389195680618,0.011944823898375034
10,2400,0.5111111149191856,0.5000000037252903,0.5111111111111111,13.8,2.87892746925354,0.028622252866625786,0.0004480113566387445,0.008470180444419384
15,3600,0.48518518880009653,0.42592592909932137,0.4851851851851851,13.1,2.824028968811035,0.02544557675719261,0.047974489629268646,0.01043443288654089
20,4800,0.4925925962626934,0.5000000037252903,0.4925925925925926,13.3,2.867802619934082,0.02770259417593479,-0.00015539130254182965,0.008246378973126411
25,6000,0.5111111149191856,0.48148148506879807,0.5111111111111112,13.8,2.872507095336914,0.008666844107210636,0.023879464715719223,0.007797109428793192
30,7200,0.5592592634260655,0.5370370410382748,0.5592592592592592,15.1,2.844033718109131,0.013159357942640781,-0.011799542233347893,0.01148227509111166
35,8400,0.48148148506879807,0.5000000037252903,0.4814814814814815,13.0,2.867169141769409,0.01883864216506481,0.0056807198561728,0.007768138311803341
40,9600,0.5111111149191856,0.5185185223817825,0.5111111111111111,13.8,2.872852087020874,0.008237248286604881,0.00916188582777977,0.007480130530893803
45,10800,0.37777778059244155,0.37037037312984467,0.3777777777777778,10.2,2.874972105026245,0.007659717462956905,0.005767488386482,0.003615287598222494
50,12000,0.5629629671573639,0.555555559694767,0.562962962962963,15.2,2.862497329711914,0.012266748584806919,-0.0047457097098231316,0.01019398495554924
55,13200,0.522222226113081,0.5000000037252903,0.5222222222222224,14.1,2.8754405975341797,0.008877853862941265,0.01887405663728714,0.006522250361740589
